keystring,positiveTrigger,negativeTrigger
a peg leg,was protected by *depPossessive* peg leg,was hampered by *depPossessive* peg leg
anxiety,,felt anxious
weakness,,felt weak
deafness,was unharmed by the sound,could not hear a thing
self-doubt,,was consumed by self-doubt
a prosthetic arm,used *depPossessive* prosthetic arm,struggled with *depPossessive* prosthetic arm
aggressive impulses,charged forward fearlessly,rushed in too eagerly
cowardice,,is frozen in fear
greed,greedily spotted something no one else saw,lingered too long looking for treasure
dragon obsession,has a deep understanding of dragons,can't get over *depPossessive* dragon obsession
gambling addiction,was willing to risk it all,took a foolish gamble
martyr complex,sacrificed for the good of the party,seemed too willing too sacrifice *reflexive*
optimistism,helped everyone see the bright side,took things too lightly
unluckiness,,couldn't catch a break
trauma,remembered not to make the same mistakes again,was haunted by their past
monsterphobia,,is terrified of strange beasts
quick-wit,conjured smiles with a clever joke,didn't know when to stop talking
elegance,moved with cat-like elegance,
great destiny,felt *depPossessive* great destiny calling,felt the icy touch of fate
